0	1
0	1
1	1
0	1
0	1
0	1
0	1
9	1
14	1
12	1
0	1
0	1
0	1
0	2
0	0
0	1
2	2
2	1
0	0
2	1
0	1
0	1
11	1
0	1
1	1
0	1
1	1
1	1
4	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
3	1
6	1
6	1
0	0
16	1
0	0
0	0
0	0
0	0
0	2
0	0
3	2
9	2
9	2
14	0
10	2
10	2
10	2
14	2
14	2
13	2
10	2
14	2
0	2
2	1
2	1
1	1
1	1
1	1
1	1
0	1
11	2
11	2
11	0
0	0
11	1
11	2
3	0
11	0
11	0
11	2
6	0
15	2
9	2
12	2
12	2
12	0
12	2
5	1
4	1
4	1
4	1
3	0
13	2
13	2
13	0
13	0
13	0
0	1
0	1
13	0
7	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
10	0
0	0
13	0
13	0
14	0
13	0
0	0
0	1
0	0
2	0
0	1
0	1
7	1
3	2
3	2
4	1
9	2
10	1
10	1
0	2
0	1
0	1
0	1
13	0
13	0
0	0
1	1
0	0
13	2
3	0
0	1
6	1
0	0
2	1
0	0
10	2
0	1
11	0
0	0
13	2
0	0
3	0
10	1
0	1
0	1
4	1
13	0
5	1
0	1
0	0
0	0
0	2
0	1
0	1
0	0
0	1
0	0
1	1
16	1
6	0
0	0
7	0
9	1
0	2
7	0
0	1
0	0
2	2
11	0
1	1
7	0
14	2
0	0
1	1
0	0
16	1
17	0
0	0
3	2
4	2
10	2
4	0
12	2
0	0
7	0
0	0
14	2
1	0
4	1
0	0
15	1
5	0
11	2
0	0
17	0
5	1
0	1
0	0
0	0
12	1
6	1
8	1
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
9	1
4	1
1	1
6	1
15	2
0	0
0	0
16	1
0	1
0	0
8	1
8	1
1	1
0	0
11	0
17	0
0	2
1	1
15	2
10	0
9	0
16	1
13	2
0	0
0	1
5	2
7	2
13	2
1	1
10	2
16	1
0	1
0	2
0	0
0	2
0	0
9	2
14	0
16	0
16	0
9	0
16	0
0	1
1	1
0	1
0	0
0	0
12	0
16	0
0	0
13	0
13	0
0	0
0	0
11	0
1	1
13	0
0	0
1	1
1	1
0	0
16	1
0	1
9	2
13	0
13	0
0	0
7	0
16	0
0	1
10	1
1	1
0	0
6	0
13	2
13	2
2	0
0	0
9	1
4	0
14	1
11	1
0	0
0	2
3	1
0	1
9	2
10	2
8	1
7	1
0	2
11	0
16	0
2	2
9	2
0	0
5	1
6	2
8	0
11	0
0	0
13	0
10	2
6	2
7	1
13	2
1	1
4	1
14	2
10	2
11	1
2	1
14	1
8	0
0	0
0	0
15	1
11	2
1	0
2	1
4	2
3	1
0	1
12	1
11	2
10	0
13	0
11	1
15	0
5	1
12	2
10	2
8	2
13	2
2	0
13	0
13	0
1	1
1	1
8	1
13	0
10	2
0	1
0	1
2	1
2	0
0	0
8	1
6	1
1	1
16	1
16	1
16	0
16	1
13	0
0	2
13	0
0	2
13	0
3	0
0	0
0	0
0	0
13	0
13	0
16	1
0	1
11	0
16	1
3	0
13	0
10	0
12	0
9	1
1	1
1	2
5	0
3	1
16	2
16	1
10	1
11	1
2	2
6	1
6	2
15	2
15	1
5	2
1	1
1	2
1	2
11	2
2	1
4	2
16	0
0	1
16	0
8	1
14	1
14	1
7	1
12	1
14	1
9	1
7	1
4	2
13	1
13	1
8	2
8	2
0	1
2	0
13	0
15	2
12	2
9	2
11	2
11	1
5	1
3	1
3	1
8	1
8	1
5	1
0	0
5	0
11	2
2	2
0	2
6	1
12	2
11	1
10	1
6	1
6	0
6	0
5	1
0	1
15	2
15	2
13	0
0	1
9	2
16	0
11	2
7	2
7	1
16	0
5	0
13	0
13	0
13	0
13	2
3	2
8	0
6	0
13	0
13	0
5	1
1	1
9	2
3	2
6	0
8	1
13	2
12	2
10	0
9	1
3	0
1	1
3	2
16	1
0	0
0	0
0	0
0	2
0	2
0	1
3	2
13	2
1	0
13	0
10	2
0	0
13	0
7	2
2	1
8	0
1	1
9	2
16	0
2	1
0	0
0	1
1	2
0	0
9	2
10	2
9	2
11	2
12	2
6	2
4	1
14	2
15	1
0	0
12	2
12	1
4	1
15	1
13	1
11	1
1	1
10	1
9	1
11	2
6	1
11	0
16	2
13	2
0	1
2	2
0	1
8	1
9	2
0	2
0	2
1	2
14	2
12	1
9	2
9	2
14	1
14	2
16	2
14	1
9	1
9	2
12	1
1	1
1	0
3	2
4	0
6	0
6	1
7	1
7	0
0	0
12	0
12	2
11	0
11	1
14	2
17	2
16	0
16	0
17	2
17	0
17	0
11	0
17	0
12	0
17	1
17	2
17	2
0	2
17	0
8	0
0	0
0	0
5	1
10	2
13	2
10	2
9	2
11	0
17	0
12	0
3	0
6	0
17	0
12	0
0	0
12	0
17	2
0	0
0	0
17	0
12	1
0	1
6	2
1	1
2	2
4	1
4	1
4	1
17	2
10	2
4	1
2	1
16	1
0	1
0	2
1	1
1	2
2	1
2	2
3	1
3	2
4	1
4	2
5	1
5	2
6	1
6	2
7	1
7	2
8	1
8	2
9	1
9	2
10	1
10	2
11	1
11	2
12	1
12	2
13	1
13	2
14	1
14	2
15	1
15	2
16	1
16	2
17	1
17	2
12	1
4	0
6	1
3	0
7	1
16	1
10	2
14	1
17	0
4	1
11	0
11	1
11	1
0	0
3	0
0	0
8	0
16	1
6	2
8	1
13	0
6	1
9	1
16	1
9	2
13	0
8	1
3	0
0	2
15	2
11	1
13	0
2	1
15	2
15	1
16	1
14	0
7	1
16	1
10	2
17	2
7	1
12	2
0	1
0	0
13	2
9	2
17	2
13	1
4	1
7	1
5	1
10	1
13	2
7	1
8	1
7	2
0	0
12	1
17	2
0	1
12	2
9	2
12	1
13	2
13	2
8	1
7	2
17	1
5	1
15	2
12	1
10	2
2	1
12	2
10	2
12	2
9	1
13	2
16	2
11	1
14	2
17	2
0	1
8	1
0	0
15	2
10	2
16	1
0	0
1	0
5	0
13	0
15	1
0	0
1	0
12	1
10	1
0	0
9	1
6	1
12	1
0	1
1	1
7	1
14	1
3	1
10	1
2	1
17	1
15	1
13	1
5	1
4	1
16	1
11	1
8	1
15	0
1	1
17	0
11	1
11	1
9	1
8	1
8	1
12	1
15	1
11	1
12	2
11	2
11	1
17	1
17	2
10	0
16	0
16	1
1	1
15	2
8	2
13	2
8	1
15	1
5	2
3	2
17	2
11	1
12	2
0	2
6	1
9	2
16	1
7	1
3	0
1	0
10	1
14	1
2	1
4	2
11	0
16	1
10	1
